Date,RecordImputedFlag,Mercury_Retrograde_Degree_Colapsed,Mercury_Retrograde_Degree_Granular,Mercury_Retrograde_Degree_Description,FedReserveConference,FedReserveConference_Description,SP500_Open,SP500_High,SP500_Low,SP500_Close,SP500_AdjClose,SP500_Volume,SP500_HighLow_Delta,SP500_HighLow_Delta_Percent,SP500_OpenClose_Delta,SP500_OpenClose_Delta_Percent,SP500_DeltaPercent_Combined,VIX_Open,VIX_High,VIX_Low,VIX_Close,VIX_Adj Close,VIX_HighLow_Delta,VIX_HighLow_Delta_Percent,VIX_OpenClose_Delta,VIX_OpenClose_Delta_Percent,VIX_DeltaPErcent_Combined
5/5/2011,N,0,0,No Retrograde,0,No Conference,1344.160034,1348,1329.170044,1335.099976,1335.099976,3846250000,18.829956,1.416670206,-3.159912,-0.234533157,1.651203363,17.68,19.110001,16.74,18.200001,18.200001,2.370001,14.15771207,0.6,3.512880562,17.67059263
5/6/2011,N,0,0,No Retrograde,0,No Conference,1340.23999,1354.359985,1335.579956,1340.199951,1340.199951,4223740000,18.780029,1.406132887,5.140014,0.384990944,1.791123831,17.17,19.290001,16.120001,18.4,18.4,3.17,19.66501119,-1.030001,-5.659345843,25.32435703
5/7/2011,Y,0,0,No Retrograde,0,No Conference,1340.219971,1351.899963,1337.109986,1343.244995,1343.244995,4244495000,14.7899775,1.106458165,2.570007,0.192495472,1.298953637,17.88,18.9400005,16.580001,17.78,17.78,2.3599995,14.38062446,-0.4200005,-2.313368574,17.72660173
5/8/2011,Y,0,0,No Retrograde,0,No Conference,1340.219971,1351.899963,1337.109986,1343.244995,1343.244995,4244495000,14.7899775,1.106458165,2.570007,0.192495472,1.298953637,17.88,18.9400005,16.580001,17.78,17.78,2.3599995,14.38062446,-0.4200005,-2.313368574,17.72660173
5/9/2011,N,0,0,No Retrograde,0,No Conference,1340.199951,1349.439941,1338.640015,1346.290039,1346.290039,4265250000,10.799926,0.806783443,0,0,0.806783443,18.59,18.59,17.040001,17.16,17.16,1.549999,9.096237729,0.19,1.032608696,10.12884642
5/10/2011,N,0,0,No Retrograde,0,No Conference,1348.339966,1359.439941,1348.339966,1357.160034,1357.160034,4223740000,11.099975,0.823232662,2.049927,0.152264887,0.975497549,16.84,16.9,15.79,15.91,15.91,1.11,7.029765674,-0.32,-1.864801865,8.894567539
5/11/2011,N,0,0,No Retrograde,0,No Conference,1354.51001,1354.51001,1336.359985,1342.079956,1342.079956,3846250000,18.150025,1.358168847,-2.650024,-0.195262455,1.553431302,16.27,17.49,16.23,16.950001,16.950001,1.26,7.763401109,0.36,2.262727844,10.02612895
5/12/2011,N,0,0,No Retrograde,0,No Conference,1339.390015,1351.050049,1332.030029,1348.650024,1348.650024,3777210000,19.02002,1.427897238,-2.689941,-0.200430756,1.628327994,17.27,17.889999,16.030001,16.030001,16.030001,1.859998,11.60323072,0.319999,1.887899594,13.49113031
5/13/2011,N,0,0,No Retrograde,0,No Conference,1348.689941,1350.469971,1333.359985,1337.77002,1337.77002,3426660000,17.109986,1.2832233,0.039917,0.002959775,1.286183075,16.02,17.559999,15.98,17.07,17.07,1.579999,9.887352941,-0.010001,-0.062389266,9.949742207
5/14/2011,Y,0,0,No Retrograde,0,No Conference,1341.729981,1346.899964,1330.339966,1333.619996,1333.619996,3636455000,16.559998,1.244707009,-1.4800415,-0.110647009,1.358313793,16.9400005,17.9049995,16.2950005,17.655,17.655,1.609999,9.880458232,0.39,2.282809468,12.22565697
5/15/2011,Y,0,0,No Retrograde,0,No Conference,1341.729981,1346.899964,1330.339966,1333.619996,1333.619996,3636455000,16.559998,1.244707009,-1.4800415,-0.110647009,1.358313793,16.9400005,17.9049995,16.2950005,17.655,17.655,1.609999,9.880458232,0.39,2.282809468,12.22565697
5/16/2011,N,0,0,No Retrograde,0,No Conference,1334.77002,1343.329956,1327.319946,1329.469971,1329.469971,3846250000,16.01001,1.206190719,-3,-0.224253792,1.430444511,17.860001,18.25,16.610001,18.24,18.24,1.639999,9.873563524,0.790001,4.628008202,14.50157173
5/17/2011,N,0,0,No Retrograde,0,No Conference,1326.099976,1330.420044,1318.51001,1328.97998,1328.97998,4053970000,11.910034,0.903294925,-3.369995,-0.253484101,1.156779025,18.540001,19.09,17.469999,17.549999,17.549999,1.620001,9.273045751,0.300001,1.644742325,10.91778808
5/18/2011,N,0,0,No Retrograde,0,No Conference,1328.540039,1341.819946,1326.589966,1340.680054,1340.680054,3922030000,15.22998,1.148054817,-0.439941,-0.033103659,1.181158475,17.559999,17.68,16.030001,16.23,16.23,1.649999,10.29319337,0.01,0.05698006,10.35017343
5/19/2011,N,0,0,No Retrograde,0,No Conference,1342.400024,1346.819946,1336.359985,1343.599976,1343.599976,3626110000,10.459961,0.782720309,1.71997,0.128290862,0.911011171,15.9,16.559999,15.5,15.52,15.52,1.059999,6.838703226,-0.33,-2.033271719,8.871974945
5/20/2011,N,0,0,No Retrograde,0,No Conference,1342,1342,1330.670044,1333.27002,1333.27002,4066020000,11.329956,0.851447438,-1.599976,-0.119081276,0.970528714,15.88,17.43,15.7,17.43,17.43,1.73,11.01910828,0.36,2.319587629,13.33869591
5/21/2011,Y,0,0,No Retrograde,0,No Conference,1337.534973,1337.534973,1321.775025,1325.320008,1325.320008,3660800000,15.7599485,1.194641706,-0.900025,-0.067043769,1.261685475,17.9550005,18.7300005,16.5849995,17.85,17.85,2.145001,12.83640631,1.4800005,8.618201732,21.45460804
5/22/2011,Y,0,0,No Retrograde,0,No Conference,1337.534973,1337.534973,1321.775025,1325.320008,1325.320008,3660800000,15.7599485,1.194641706,-0.900025,-0.067043769,1.261685475,17.9550005,18.7300005,16.5849995,17.85,17.85,2.145001,12.83640631,1.4800005,8.618201732,21.45460804
5/23/2011,N,0,0,No Retrograde,0,No Conference,1333.069946,1333.069946,1312.880005,1317.369995,1317.369995,3255580000,20.189941,1.537835973,-0.200074,-0.015006263,1.552842236,20.030001,20.030001,17.469999,18.27,18.27,2.560002,14.65370433,2.600001,14.91681583,29.57052017
5/24/2011,N,0,0,No Retrograde,0,No Conference,1317.699951,1323.719971,1313.869995,1316.280029,1316.280029,3846250000,9.849976,0.749691829,0.329956,0.02504657,0.774738399,18.07,18.190001,17,17.82,17.82,1.190001,7.000005882,-0.2,-1.09469075,8.094696632
5/25/2011,N,0,0,No Retrograde,0,No Conference,1316.359985,1325.859985,1311.800049,1320.469971,1320.469971,4109670000,14.059936,1.071804808,0.079956,0.006074391,1.0778792,18.26,18.26,16.700001,17.07,17.07,1.559999,9.341310818,0.44,2.469135802,11.81044662
5/26/2011,N,0,0,No Retrograde,0,No Conference,1320.640015,1328.51001,1314.410034,1325.689941,1325.689941,3259470000,14.099976,1.072722791,0.170044,0.012877536,1.085600327,17.17,17.459999,15.9,16.09,16.09,1.559999,9.811314465,0.1,0.585823081,10.39713755
5/27/2011,N,0,0,No Retrograde,0,No Conference,1325.689941,1334.619995,1325.689941,1331.099976,1331.099976,3124560000,8.930054,0.673615581,0,0,0.673615581,16.110001,16.27,15.36,15.98,15.98,0.91,5.924479167,0.020001,0.124307023,6.04878619
5/28/2011,Y,0,0,No Retrograde,0,No Conference,1328.394959,1339.909973,1328.394959,1338.149964,1338.149964,3910400000,11.5150145,0.866444003,0,0,0.866444003,15.9800005,16.385,15.255,15.715,15.715,1.13,7.417685128,-0.0549995,-0.344604937,7.886597087
5/29/2011,Y,0,0,No Retrograde,0,No Conference,1328.394959,1339.909973,1328.394959,1338.149964,1338.149964,3910400000,11.5150145,0.866444003,0,0,0.866444003,15.9800005,16.385,15.255,15.715,15.715,1.13,7.417685128,-0.0549995,-0.344604937,7.886597087
5/30/2011,Y,0,0,No Retrograde,0,No Conference,1328.394959,1339.909973,1328.394959,1338.149964,1338.149964,3910400000,11.5150145,0.866444003,0,0,0.866444003,15.9800005,16.385,15.255,15.715,15.715,1.13,7.417685128,-0.0549995,-0.344604937,7.886597087
5/31/2011,N,0,0,No Retrograde,0,No Conference,1331.099976,1345.199951,1331.099976,1345.199951,1345.199951,4696240000,14.099975,1.059272425,0,0,1.059272425,15.85,16.5,15.15,15.45,15.45,1.35,8.910891089,-0.13,-0.813516896,9.724407985
6/1/2011,N,0,0,No Retrograde,0,No Conference,1345.199951,1345.199951,1313.709961,1314.550049,1314.550049,4241090000,31.48999,2.397027573,0,0,2.397027573,15.95,18.48,15.95,18.299999,18.299999,2.53,15.86206897,0.5,3.236245955,19.09831492
6/2/2011,N,0,0,No Retrograde,0,No Conference,1314.550049,1318.030029,1305.609985,1312.939941,1312.939941,3762170000,12.420044,0.95128286,0,0,0.95128286,17.92,18.719999,17.389999,18.09,18.09,1.33,7.648074045,-0.379999,-2.076497381,9.724571427
6/3/2011,N,0,0,No Retrograde,0,No Conference,1312.939941,1312.939941,1297.900024,1300.160034,1300.160034,3505030000,15.039917,1.15878856,0,0,1.15878856,18.23,19.870001,17.120001,17.950001,17.950001,2.75,16.06308317,0.14,0.773908237,16.83699141
6/4/2011,Y,0,0,No Retrograde,0,No Conference,1306.599976,1306.599976,1291.309998,1293.165039,1293.165039,3530505000,15.289978,1.184196858,0.049988,0.003844757,1.188041615,18.325,19.2600005,17.3850005,18.2200005,18.2200005,1.875,10.86440278,0.3049995,1.69614346,12.56054624
6/5/2011,Y,0,0,No Retrograde,0,No Conference,1306.599976,1306.599976,1291.309998,1293.165039,1293.165039,3530505000,15.289978,1.184196858,0.049988,0.003844757,1.188041615,18.325,19.2600005,17.3850005,18.2200005,18.2200005,1.875,10.86440278,0.3049995,1.69614346,12.56054624
6/6/2011,N,0,0,No Retrograde,0,No Conference,1300.26001,1300.26001,1284.719971,1286.170044,1286.170044,3555980000,15.540039,1.209605155,0.099976,0.007689515,1.21729467,18.42,18.65,17.65,18.49,18.49,1,5.66572238,0.469999,2.618378684,8.284101064
6/7/2011,N,0,0,No Retrograde,0,No Conference,1286.310059,1296.219971,1284.73999,1284.939941,1284.939941,3846250000,11.479981,0.893564541,0.140015,0.010886197,0.904450738,18.129999,18.48,17.389999,18.07,18.07,1.090001,6.267976209,-0.360001,-1.947003786,8.214979994
6/8/2011,N,0,0,No Retrograde,0,No Conference,1284.630005,1287.040039,1277.420044,1279.560059,1279.560059,3970810000,9.619995,0.75308001,-0.309936,-0.02412066,0.777200671,18.15,18.83,17.719999,18.790001,18.790001,1.110001,6.264114349,0.08,0.442722745,6.706837094
6/9/2011,N,0,0,No Retrograde,0,No Conference,1279.630005,1294.540039,1279.630005,1289,1289,3332510000,14.910034,1.165183212,0.069946,0.00546641,1.170649623,18.200001,18.309999,17.26,17.77,17.77,1.049999,6.083424102,-0.59,-3.139967901,9.223392003
6/10/2011,N,0,0,No Retrograde,0,No Conference,1288.599976,1288.599976,1268.280029,1270.97998,1270.97998,3846250000,20.319947,1.602165652,-0.400024,-0.03103367,1.633199322,17.93,19.16,17.93,18.860001,18.860001,1.23,6.860011154,0.16,0.900393922,7.760405077
6/11/2011,Y,0,0,No Retrograde,0,No Conference,1279.955018,1282.820008,1266.960022,1271.404968,1271.404968,3989385000,15.8599855,1.251448802,-0.0349725,-0.002531618,1.279950853,18.515,19.59,18.17,19.235001,19.235001,1.42,7.802629151,0.1999995,1.086461509,8.88909066
6/12/2011,Y,0,0,No Retrograde,0,No Conference,1279.955018,1282.820008,1266.960022,1271.404968,1271.404968,3989385000,15.8599855,1.251448802,-0.0349725,-0.002531618,1.279950853,18.515,19.59,18.17,19.235001,19.235001,1.42,7.802629151,0.1999995,1.086461509,8.88909066
6/13/2011,N,0,0,No Retrograde,0,No Conference,1271.310059,1277.040039,1265.640015,1271.829956,1271.829956,4132520000,11.400024,0.900731951,0.330079,0.025970433,0.926702384,19.1,20.02,18.41,19.610001,19.610001,1.61,8.745247148,0.239999,1.272529095,10.01777624
6/14/2011,N,0,0,No Retrograde,0,No Conference,1272.219971,1292.5,1272.219971,1287.869995,1287.869995,3500280000,20.280029,1.594066236,0.390015,0.030665656,1.624731892,18.559999,18.559999,17.799999,18.26,18.26,0.76,4.269663161,-1.050002,-5.354420941,9.624084102
6/15/2011,N,0,0,No Retrograde,0,No Conference,1287.869995,1287.869995,1261.900024,1265.420044,1265.420044,4070500000,25.969971,2.058005429,0,0,2.058005429,19.309999,21.66,19.030001,21.32,21.32,2.629999,13.82027778,1.049999,5.750268346,19.57054613
6/16/2011,N,0,0,No Retrograde,0,No Conference,1265.530029,1274.109985,1258.069946,1267.640015,1267.640015,3846250000,16.040039,1.274971956,0.109985,0.00869158,1.283663536,21.370001,24.65,20.809999,22.73,22.73,3.840001,18.45267268,0.050001,0.234526266,18.68719895
6/17/2011,N,0,0,No Retrograde,0,No Conference,1268.579956,1279.819946,1267.400024,1271.5,1271.5,4916460000,12.419922,0.979952798,0.939941,0.07414889,1.054101688,21.559999,22.389999,20.35,21.85,21.85,2.039999,10.02456511,-1.170001,-5.147386714,15.17195182
6/18/2011,Y,0,0,No Retrograde,0,No Conference,1270.039978,1280.119995,1267.480042,1274.929993,1274.929993,4190560000,12.6399535,0.997249601,0.4699705,0.037074445,1.034324046,22.2749995,22.7349995,20.17,20.92,20.92,2.5649995,12.74114699,-0.0150005,0.035002295,17.923536
6/19/2011,Y,0,0,No Retrograde,0,No Conference,1270.039978,1280.119995,1267.480042,1274.929993,1274.929993,4190560000,12.6399535,0.997249601,0.4699705,0.037074445,1.034324046,22.2749995,22.7349995,20.17,20.92,20.92,2.5649995,12.74114699,-0.0150005,0.035002295,17.923536
6/20/2011,N,0,0,No Retrograde,0,No Conference,1271.5,1280.420044,1267.560059,1278.359985,1278.359985,3464660000,12.859985,1.014546404,0,0,1.014546404,22.99,23.08,19.99,19.99,19.99,3.09,15.45772886,1.14,5.217391304,20.67512017
6/21/2011,N,0,0,No Retrograde,0,No Conference,1278.400024,1297.619995,1278.400024,1295.52002,1295.52002,4056150000,19.219971,1.503439506,0.040039,0.00313206,1.506571565,19.459999,19.459999,17.719999,18.860001,18.860001,1.74,9.819413647,-0.530001,-2.651330665,12.47074431
6/22/2011,N,0,0,No Retrograde,2,Scheduled Summary Conference,1295.47998,1298.609985,1286.790039,1287.140015,1287.140015,3718420000,11.819946,0.918560576,-0.04004,-0.003090651,0.921651227,18.860001,18.9,17.719999,18.52,18.52,1.180001,6.659148231,0,0,6.659148231
6/23/2011,N,0,0,No Retrograde,0,No Conference,1286.599976,1286.599976,1262.869995,1283.5,1283.5,4983450000,23.729981,1.87905177,-0.540039,-0.041956508,1.921008278,20.23,21.5,19.219999,19.290001,19.290001,2.280001,11.8626489,1.71,9.233261339,21.09591024
6/24/2011,N,0,0,No Retrograde,0,No Conference,1283.040039,1283.930054,1267.23999,1268.449951,1268.449951,3665340000,16.690064,1.317040508,-0.459961,-0.035836463,1.352876971,19.200001,21.280001,19.1,21.1,21.1,2.180001,11.4136178,-0.09,-0.466562962,11.88018076
6/25/2011,Y,0,0,No Retrograde,0,No Conference,1275.73999,1284.420044,1267.38501,1274.274964,1274.274964,3572205000,17.0350345,1.344105787,-0.2349855,-0.018312807,1.362418594,20.4000005,21.5500005,19.685,20.8299995,20.8299995,1.8650005,9.530193212,0.205,0.951552642,10.94830882
6/26/2011,Y,0,0,No Retrograde,0,No Conference,1275.73999,1284.420044,1267.38501,1274.274964,1274.274964,3572205000,17.0350345,1.344105787,-0.2349855,-0.018312807,1.362418594,20.4000005,21.5500005,19.685,20.8299995,20.8299995,1.8650005,9.530193212,0.205,0.951552642,10.94830882
6/27/2011,N,0,0,No Retrograde,0,No Conference,1268.439941,1284.910034,1267.530029,1280.099976,1280.099976,3479070000,17.380005,1.371171065,-0.01001,-0.000789152,1.371960217,21.6,21.82,20.27,20.559999,20.559999,1.55,7.646768624,0.5,2.369668246,10.01643687
6/28/2011,N,0,0,No Retrograde,0,No Conference,1280.209961,1296.800049,1280.209961,1296.670044,1296.670044,3681500000,16.590088,1.295888058,0.109985,0.008591907,1.304479965,20.299999,20.450001,19.17,19.17,19.17,1.280001,6.677104851,-0.26,-1.264591501,7.941696353
6/29/2011,N,0,0,No Retrograde,0,No Conference,1296.849976,1309.209961,1296.849976,1307.410034,1307.410034,4347540000,12.359985,0.953077475,0.179932,0.013876468,0.966953942,18.620001,18.83,16.32,17.27,17.27,2.51,15.37990196,-0.549999,-2.869061033,18.24896299
6/30/2011,N,0,0,No Retrograde,0,No Conference,1307.640015,1321.969971,1307.640015,1320.640015,1320.640015,4200500000,14.329956,1.095863987,0.229981,0.017590579,1.113454566,16.67,16.77,15.88,16.52,16.52,0.89,5.604534005,-0.6,-3.474232774,9.078766779
7/1/2011,N,0,0,No Retrograde,0,No Conference,1320.640015,1341.01001,1318.180054,1339.670044,1339.670044,3796930000,22.829956,1.731930014,0,0,1.731930014,16.059999,16.290001,15.12,15.87,15.87,1.170001,7.738101852,-0.460001,-2.784509685,10.52261154
7/2/2011,Y,0,0,No Retrograde,0,No Conference,1330.114991,1340.950013,1326.240052,1338.775025,1338.775025,3759625000,14.709961,1.112909688,-0.040039,-0.002988721,1.115898409,16.1899995,16.3950005,15.505,15.9649995,15.9649995,0.8900005,5.788497118,-0.0050005,0.025514534,8.598521337
7/3/2011,Y,0,0,No Retrograde,0,No Conference,1330.114991,1340.950013,1326.240052,1338.775025,1338.775025,3759625000,14.709961,1.112909688,-0.040039,-0.002988721,1.115898409,16.1899995,16.3950005,15.505,15.9649995,15.9649995,0.8900005,5.788497118,-0.0050005,0.025514534,8.598521337
7/4/2011,Y,0,0,No Retrograde,0,No Conference,1330.114991,1340.950013,1326.240052,1338.775025,1338.775025,3759625000,14.709961,1.112909688,-0.040039,-0.002988721,1.115898409,16.1899995,16.3950005,15.505,15.9649995,15.9649995,0.8900005,5.788497118,-0.0050005,0.025514534,8.598521337
7/5/2011,N,0,0,No Retrograde,0,No Conference,1339.589966,1340.890015,1334.300049,1337.880005,1337.880005,3722320000,6.589966,0.493889362,-0.080078,-0.005977442,0.499866804,16.32,16.5,15.89,16.059999,16.059999,0.61,3.838892385,0.45,2.835538752,6.674431138
7/6/2011,N,0,0,No Retrograde,0,No Conference,1337.560059,1340.939941,1330.920044,1339.219971,1339.219971,3564190000,10.019897,0.752854918,-0.319946,-0.023914402,0.776769319,16.459999,17.08,16.32,16.34,16.34,0.76,4.656862745,0.4,2.49066018,7.147522925
7/7/2011,N,0,0,No Retrograde,0,No Conference,1339.619995,1356.47998,1339.619995,1353.219971,1353.219971,4069530000,16.859985,1.258564747,0.400024,0.029869925,1.288434672,15.3,16.129999,15.3,15.95,15.95,0.829999,5.424830065,-1.04,-6.364749082,11.78957915
7/8/2011,N,0,0,No Retrograde,0,No Conference,1352.390015,1352.390015,1333.709961,1343.800049,1343.800049,3594360000,18.680054,1.400608419,-0.829956,-0.061331936,1.461940355,17.139999,17.139999,15.95,15.95,15.95,1.189999,7.460808777,1.189999,7.460808777,14.92161755
7/9/2011,Y,0,0,No Retrograde,0,No Conference,1347.850037,1347.850037,1325.065003,1331.64502,1331.64502,3736745000,22.7850345,1.721635324,-0.659973,-0.048897475,1.770532798,17.29,18.099999,16.555,17.1699995,17.1699995,1.544999,9.266532011,1.34,8.401253918,17.66778593
7/10/2011,Y,0,0,No Retrograde,0,No Conference,1347.850037,1347.850037,1325.065003,1331.64502,1331.64502,3736745000,22.7850345,1.721635324,-0.659973,-0.048897475,1.770532798,17.29,18.099999,16.555,17.1699995,17.1699995,1.544999,9.266532011,1.34,8.401253918,17.66778593
7/11/2011,N,0,0,No Retrograde,0,No Conference,1343.310059,1343.310059,1316.420044,1319.48999,1319.48999,3879130000,26.890015,2.042662228,-0.48999,-0.036463014,2.079125242,17.440001,19.059999,17.16,18.389999,18.389999,1.899999,11.07225524,1.490001,9.34169906,20.4139543
7/12/2011,N,0,0,No Retrograde,0,No Conference,1319.609985,1327.170044,1313.329956,1313.640015,1313.640015,4227890000,13.840088,1.053816517,0.119995,0.009094044,1.062910561,19.549999,20.129999,18.25,19.870001,19.870001,1.879999,10.30136438,1.16,6.307776308,16.60914069
7/13/2011,N,0,0,No Retrograde,0,No Conference,1314.449951,1331.47998,1314.449951,1317.719971,1317.719971,4060080000,17.030029,1.295601174,0.809936,0.061655856,1.357257031,19.08,20.16,18.09,19.91,19.91,2.07,11.44278607,-0.790001,-3.975847812,15.41863388
7/14/2011,N,0,0,No Retrograde,0,No Conference,1317.73999,1326.880005,1306.51001,1308.869995,1308.869995,4358570000,20.369995,1.559115112,0.020019,0.001519215,1.560634327,20.08,21.58,19.35,20.799999,20.799999,2.23,11.5245478,0.17,0.85384229,12.37839009
7/15/2011,N,1,2,Preshadow ,0,No Conference,1308.869995,1317.699951,1307.52002,1316.140015,1316.140015,4242760000,10.179931,0.778567888,0,0,0.778567888,20.25,21.68,19.52,19.530001,19.530001,2.16,11.06557377,-0.549999,-2.644226089,13.70979986
7/16/2011,Y,1,2,Preshadow ,0,No Conference,1312.404968,1316.819946,1301.720032,1310.789978,1310.789978,4180460000,15.099914,1.161704167,-0.100037,-0.007600787,1.169304954,20.75,21.805,20.21,20.240001,20.240001,1.595,7.996901718,0.585,3.081365993,13.7224938
7/17/2011,Y,1,2,Preshadow ,0,No Conference,1312.404968,1316.819946,1301.720032,1310.789978,1310.789978,4180460000,15.099914,1.161704167,-0.100037,-0.007600787,1.169304954,20.75,21.805,20.21,20.240001,20.240001,1.595,7.996901718,0.585,3.081365993,13.7224938
7/18/2011,N,1,2,Preshadow ,0,No Conference,1315.939941,1315.939941,1295.920044,1305.439941,1305.439941,4118160000,20.019897,1.544840447,-0.200074,-0.015201574,1.560042021,21.25,21.93,20.9,20.950001,20.950001,1.03,4.928229665,1.719999,8.806958074,13.73518774
